Threshold,TPR,FPR
0.0,1.0,1.0
0.01,0.9959072305593452,0.6706049149338374
0.02,0.9945429740791268,0.6361058601134215
0.03,0.9945429740791268,0.5808128544423441
0.04,0.9918144611186903,0.4891304347826087
0.05,0.9863574351978172,0.40737240075614367
0.06,0.9822646657571623,0.3676748582230624
0.07,0.9781718963165075,0.34262759924385633
0.08,0.9740791268758526,0.32136105860113423
0.09,0.9699863574351978,0.29347826086956524
0.1,0.9672578444747613,0.2684310018903592
0.11,0.9549795361527967,0.24763705103969755
0.12,0.9440654843110505,0.23015122873345936
0.13,0.9386084583901774,0.21408317580340264
0.14,0.9345156889495225,0.2008506616257089
0.15,0.9304229195088677,0.18525519848771266
0.16,0.9263301500682128,0.17438563327032136
0.17,0.9236016371077762,0.1668241965973535
0.18,0.9195088676671214,0.1611531190926276
0.19,0.9167803547066848,0.15264650283553874
0.2,0.9154160982264665,0.14697542533081284
0.21,0.9113233287858117,0.14035916824196598
0.22,0.9072305593451568,0.13516068052930058
0.23,0.9072305593451568,0.13043478260869565
0.24,0.8990450204638472,0.12381852551984877
0.25,0.8949522510231923,0.12003780718336483
0.26,0.8867667121418826,0.11483931947069943
0.27,0.878581173260573,0.10964083175803403
0.28,0.8758526603001364,0.10727788279773157
0.29,0.8717598908594816,0.10444234404536862
0.3,0.869031377899045,0.09782608695652174
0.31,0.8663028649386084,0.09357277882797732
0.32,0.8608458390177354,0.09026465028355388
0.33,0.8581173260572987,0.08601134215500945
0.34,0.8526603001364257,0.08034026465028356
0.35000000000000003,0.8512960436562074,0.07561436672967864
0.36,0.8417462482946794,0.0723062381852552
0.37,0.8390177353342428,0.06994328922495274
0.38,0.8335607094133697,0.06758034026465029
0.39,0.8308321964529332,0.06521739130434782
0.4,0.8294679399727148,0.06427221172022685
0.41000000000000003,0.82537517053206,0.06379962192816635
0.42,0.8212824010914052,0.06332703213610585
0.43,0.8144611186903138,0.06332703213610585
0.44,0.8021828103683493,0.06143667296786389
0.45,0.7994542974079127,0.06001890359168242
0.46,0.7926330150068213,0.05954631379962193
0.47000000000000003,0.7844474761255116,0.057655954631379965
0.48,0.7789904502046384,0.05718336483931947
0.49,0.7735334242837654,0.055765595463137994
0.5,0.7598908594815825,0.054820415879017016
0.51,0.7489768076398363,0.054820415879017016
0.52,0.7435197817189632,0.05387523629489603
0.53,0.7353342428376535,0.05245746691871456
0.54,0.7271487039563438,0.05103969754253308
0.55,0.723055934515689,0.0500945179584121
0.56,0.7189631650750341,0.04914933837429111
0.5700000000000001,0.7107776261937244,0.046313799621928164
0.58,0.7053206002728513,0.043478260869565216
0.59,0.694406548431105,0.04111531190926276
0.6,0.6821282401091405,0.04017013232514178
0.61,0.6753069577080492,0.039224952741020794
0.62,0.669849931787176,0.038752362948960305
0.63,0.6589358799454298,0.03827977315689981
0.64,0.6562073669849932,0.036862003780718335
0.65,0.6493860845839018,0.0335538752362949
0.66,0.6425648021828103,0.03213610586011342
0.67,0.6316507503410641,0.031190926275992438
0.68,0.6248294679399727,0.031190926275992438
0.6900000000000001,0.616643929058663,0.02930056710775047
0.7000000000000001,0.6043656207366985,0.02835538752362949
0.71,0.5989085948158254,0.026937618147448016
0.72,0.5907230559345157,0.02504725897920605
0.73,0.5893587994542974,0.022684310018903593
0.74,0.5852660300136425,0.021266540642722116
0.75,0.5811732605729877,0.01984877126654064
0.76,0.5661664392905866,0.01984877126654064
0.77,0.5620736698499318,0.01890359168241966
0.78,0.5429740791268759,0.018431001890359167
0.79,0.5225102319236017,0.0165406427221172
0.8,0.5115961800818554,0.0165406427221172
0.81,0.504774897680764,0.015122873345935728
0.8200000000000001,0.49386084583901774,0.014650283553875236
0.8300000000000001,0.47203274215552526,0.013232514177693762
0.84,0.4529331514324693,0.013232514177693762
0.85,0.43656207366984995,0.013232514177693762
0.86,0.42155525238744884,0.012287334593572778
0.87,0.38335607094133695,0.010869565217391304
0.88,0.3587994542974079,0.00945179584120983
0.89,0.330150068212824,0.00945179584120983
0.9,0.3069577080491132,0.008506616257088847
0.91,0.27694406548431105,0.007561436672967864
0.92,0.24147339699863574,0.007088846880907372
0.93,0.22646657571623466,0.006616257088846881
0.9400000000000001,0.20463847203274216,0.005198487712665407
0.9500000000000001,0.1882673942701228,0.004253308128544423
0.96,0.15552523874488403,0.0033081285444234404
0.97,0.1364256480218281,0.001890359168241966
0.98,0.12551159618008187,0.001890359168241966
0.99,0.09549795361527967,0.0014177693761814746
1.0,0.0,0.0
